1456788242
3505722589
2731417750
1116425857
2890072552
3663376881
3657151566
2405689786
104099157
1144278534
1954068435
1430421218
2553686802
2032783046
4183993750
1080033991

1
   a d c b
4
   a d c b
01 1 1 0 0
02 0 0 0 0
03 0 1 0 0
04 1 1 0 1
05 0 0 0 0
06 1 0 0 0
07 0 1 0 0
08 0 1 1 1
09 0 1 0 1
10 1 0 0 1
11 1 1 0 1
12 1 1 1 0
13 1 1 1 1
14 1 1 0 0
15 1 1 0 1
16 1 1 1 1
17 1 1 1 0
18 1 1 1 1
19 1 0 0 1
20 1 1 1 1
21 0 0 1 1
22 0 1 0 1
23 0 1 0 1
24 1 1 0 0
25 1 0 1 0
26 0 0 0 0
27 0 1 0 0
28 0 0 0 0
29 0 0 0 0
30 1 0 1 1
31 1 0 1 0
32 0 0 0 0

5
   a d c b
01 1 0 1 0
02 0 0 0 0
03 0 0 1 0
04 1 1 0 0
05 1 1 1 0
06 0 0 0 1
07 0 0 1 0
08 1 1 1 0
09 1 1 1 0
10 0 0 0 1
11 1 1 1 0
12 0 1 1 1
13 1 1 0 0
14 0 0 1 1
15 0 1 1 0
16 1 0 0 0
17 0 0 1 1
18 0 1 0 1
19 0 0 1 1
20 0 1 1 0
21 0 1 0 0
22 0 1 0 1
23 1 0 0 1
24 0 1 1 1
25 0 0 0 1
26 0 1 0 0
27 1 1 0 1
28 0 1 0 1
29 0 1 1 0
30 1 1 1 1
31 1 1 0 0
32 0 0 0 0

6
   a d c b
01 0 1 1 1
02 0 0 0 1
03 0 1 1 0
04 1 1 0 0
05 0 0 0 0
06 1 0 1 0
07 0 1 1 0
08 1 1 0 0
09 1 1 0 0
10 1 1 0 1
11 1 0 1 0
12 1 1 0 0
13 0 0 1 0
14 1 1 0 0
15 0 1 1 0
16 0 1 0 0
17 1 1 1 1
18 1 0 1 0
19 1 0 0 0
20 0 1 0 0
21 1 0 1 1
22 0 0 1 0
23 0 1 1 1
24 0 1 0 1
25 0 0 0 1
26 0 0 1 0
27 1 0 0 1
28 1 1 1 1
29 1 1 1 1
30 0 0 1 1
31 1 0 0 1
32 0 0 0 1

7
   a d c b
01 0 0 1 1
02 1 0 1 1
03 0 0 1 1
04 0 1 1 0
05 0 1 1 0
06 0 1 1 0
07 1 0 1 1
08 1 0 1 1
09 0 0 0 1
10 0 0 1 0
11 0 0 1 1
12 1 0 1 1
13 1 1 0 1
14 1 1 0 0
15 0 0 0 1
16 0 0 1 1
17 1 0 1 0
18 0 0 1 0
19 1 1 1 1
20 1 0 1 0
21 1 0 0 0
22 0 0 0 0
23 1 1 0 0
24 1 0 1 1
25 1 1 1 1
26 0 1 0 0
27 0 0 1 0
28 0 1 0 1
29 0 0 0 1
30 1 0 0 0
31 0 0 0 1
32 1 0 0 1

8
   a d c b
01 1 0 1 1
02 0 0 0 1
03 0 0 1 0
04 0 1 0 0
05 0 0 1 0
06 1 1 0 1
07 1 1 0 1
08 0 0 1 0
09 0 1 0 1
10 0 1 0 0
11 0 1 1 1
12 1 0 0 1
13 0 1 0 1
14 0 0 1 1
15 1 0 0 0
16 1 0 1 0
17 0 1 1 1
18 1 1 1 0
19 1 0 1 0
20 0 0 1 0
21 1 1 0 1
22 0 1 1 1
23 1 1 0 1
24 1 0 1 0
25 0 0 0 1
26 0 1 1 0
27 0 0 1 1
28 1 1 1 0
29 0 1 1 0
30 1 1 0 1
31 0 0 1 0
32 0 0 0 0

9
   a d c b
01 1 0 0 0
02 1 1 0 0
03 1 1 1 0
04 0 1 1 1
05 0 0 1 0
06 0 0 1 0
07 0 0 1 0
08 1 0 0 0
09 0 1 1 1
10 0 1 0 1
11 0 1 0 1
12 0 1 1 0
13 0 1 0 0
14 1 0 0 1
15 1 1 1 1
16 0 1 0 0
17 1 0 0 0
18 0 1 1 1
19 1 0 1 0
20 0 1 1 0
21 0 0 0 0
22 0 1 1 1
23 0 0 0 1
24 0 1 0 0
25 1 0 0 1
26 1 1 1 1
27 0 1 1 0
28 0 1 0 0
29 1 1 0 0
30 1 0 1 1
31 1 0 0 0
32 0 0 0 0

10
   a d c b
01 0 1 0 0
02 0 1 1 0
03 0 1 1 0
04 1 1 1 0
05 0 1 0 0
06 1 0 0 1
07 0 0 0 0
08 0 0 0 1
09 1 1 1 0
10 0 0 0 0
11 0 1 1 0
12 1 0 0 0
13 1 1 0 1
14 1 0 1 0
15 1 1 1 0
16 0 0 0 1
17 1 1 0 1
18 1 1 0 1
19 1 1 1 0
20 0 0 1 0
21 0 0 1 0
22 1 1 1 0
23 1 0 1 0
24 0 1 0 1
25 1 1 1 1
26 0 0 1 0
27 1 1 1 0
28 1 1 0 1
29 0 0 1 1
30 1 1 1 1
31 1 0 1 0
32 0 0 1 0

11
   a d c b
01 1 1 0 0
02 1 0 0 1
03 1 0 1 0
04 1 0 0 0
05 1 1 1 0
06 1 1 0 0
07 1 1 0 1
08 1 1 1 0
09 0 1 0 0
10 1 1 1 1
11 1 1 0 0
12 0 0 1 1
13 0 0 1 0
14 0 1 0 1
15 0 1 0 1
16 0 1 0 1
17 0 1 0 1
18 1 0 0 0
19 0 1 0 0
20 1 0 1 1
21 1 1 1 0
22 0 1 1 1
23 1 1 0 0
24 1 1 1 1
25 1 1 1 0
26 0 1 0 0
27 0 0 0 0
28 0 1 0 1
29 0 1 1 1
30 1 1 0 0
31 1 1 1 0
32 0 0 1 1

12
   a d c b
01 1 1 0 0
02 0 0 1 0
03 1 1 0 0
04 1 0 0 1
05 1 1 0 1
06 0 0 0 0
07 0 1 1 0
08 1 1 1 0
09 0 0 1 1
10 0 0 1 0
11 0 1 1 0
12 0 1 0 1
13 1 0 1 0
14 1 0 1 0
15 0 1 0 0
16 1 0 1 1
17 1 1 0 1
18 0 1 0 1
19 1 1 1 1
20 1 0 0 1
21 1 0 0 1
22 0 0 1 1
23 0 0 1 0
24 0 1 1 1
25 1 0 0 0
26 0 0 0 0
27 1 1 1 0
28 0 0 0 1
29 0 0 1 1
30 0 1 0 1
31 1 1 0 1
32 1 0 0 0

13
   a d c b
01 1 0 0 1
02 1 1 1 0
03 1 0 0 1
04 0 0 1 0
05 1 1 1 0
06 0 0 0 1
07 0 1 1 1
08 0 0 1 1
09 0 1 0 0
10 0 1 0 1
11 1 0 0 1
12 0 1 1 1
13 0 1 0 0
14 0 1 0 1
15 1 1 1 0
16 0 0 0 0
17 0 1 1 1
18 0 0 0 1
19 1 0 0 1
20 1 1 1 0
21 0 1 0 1
22 1 0 0 0
23 1 1 1 0
24 0 0 1 0
25 0 0 0 0
26 1 1 0 1
27 1 0 1 0
28 0 0 0 0
29 0 0 0 0
30 0 1 0 0
31 1 0 0 0
32 0 1 0 1

14
   a d c b
01 0 1 1 1
02 0 0 1 0
03 1 0 1 1
04 1 0 1 0
05 0 0 0 1
06 1 1 0 1
07 0 1 1 0
08 1 0 0 0
09 1 1 1 1
10 1 1 1 0
11 1 1 0 1
12 0 1 1 0
13 1 0 1 0
14 1 1 1 0
15 1 0 0 0
16 1 1 0 1
17 0 1 0 1
18 1 0 1 1
19 0 0 0 1
20 0 0 0 1
21 0 0 0 1
22 0 0 0 1
23 1 0 0 0
24 0 0 0 0
25 1 1 0 0
26 0 1 1 0
27 0 1 1 0
28 0 1 1 1
29 0 0 0 0
30 1 1 1 1
31 1 0 0 1
32 0 1 0 1

15
   a d c b
01 0 1 0 1
02 0 0 0 0
03 0 1 1 1
04 0 0 1 1
05 0 1 0 0
06 1 1 1 1
07 1 1 0 1
08 0 0 0 0
09 1 1 1 1
10 0 0 1 1
11 1 0 0 0
12 0 1 1 1
13 1 0 0 1
14 0 0 0 0
15 0 1 0 1
16 0 0 1 0
17 0 1 1 0
18 0 1 1 1
19 1 0 0 1
20 0 1 0 1
21 1 1 0 1
22 1 0 0 0
23 0 1 0 1
24 1 0 0 1
25 1 1 0 0
26 1 1 0 0
27 1 0 1 0
28 1 0 0 0
29 0 1 0 1
30 1 1 0 0
31 1 0 0 0
32 0 1 0 0

16
   a d c b
01 0 1 1 1
02 0 1 0 0
03 0 0 0 1
04 1 1 0 1
05 0 0 0 1
06 0 0 1 1
07 1 0 0 1
08 1 1 0 1
09 0 1 1 1
10 1 0 0 1
11 1 0 0 0
12 1 1 0 1
13 1 0 0 1
14 1 0 1 0
15 1 0 1 0
16 1 0 0 0
17 0 0 0 0
18 0 1 1 0
19 0 0 0 0
20 0 0 1 0
21 0 0 0 1
22 1 1 0 0
23 1 1 1 1
24 1 0 0 0
25 0 0 1 1
26 1 0 0 0
27 0 0 0 0
28 0 0 1 0
29 0 1 1 1
30 1 0 1 1
31 0 0 1 0
32 0 0 0 0

